Long,Lat,,,
150.954862,-33.857028,,"{lng: 150.954862, lat: -33.857028},","150.954862 -33.857028,"
150.955119,-33.856632,,"{lng: 150.955119, lat: -33.856632},","150.955119 -33.856632,"
150.955145,-33.856274,,"{lng: 150.955145, lat: -33.856274},","150.955145 -33.856274,"
150.954908,-33.85594,,"{lng: 150.954908, lat: -33.85594},","150.954908 -33.85594,"
150.954332,-33.855559,,"{lng: 150.954332, lat: -33.855559},","150.954332 -33.855559,"
150.954174,-33.854755,,"{lng: 150.954174, lat: -33.854755},","150.954174 -33.854755,"
150.953798,-33.854234,,"{lng: 150.953798, lat: -33.854234},","150.953798 -33.854234,"
150.953396,-33.854056,,"{lng: 150.953396, lat: -33.854056},","150.953396 -33.854056,"
150.95251,-33.854198,,"{lng: 150.95251, lat: -33.854198},","150.95251 -33.854198,"
150.95237,-33.854125,,"{lng: 150.95237, lat: -33.854125},","150.95237 -33.854125,"
150.952381,-33.853695,,"{lng: 150.952381, lat: -33.853695},","150.952381 -33.853695,"
150.952207,-33.853549,,"{lng: 150.952207, lat: -33.853549},","150.952207 -33.853549,"
150.950937,-33.853486,,"{lng: 150.950937, lat: -33.853486},","150.950937 -33.853486,"
150.949624,-33.853751,,"{lng: 150.949624, lat: -33.853751},","150.949624 -33.853751,"
150.949063,-33.853598,,"{lng: 150.949063, lat: -33.853598},","150.949063 -33.853598,"
150.948716,-33.853335,,"{lng: 150.948716, lat: -33.853335},","150.948716 -33.853335,"
150.948125,-33.853697,,"{lng: 150.948125, lat: -33.853697},","150.948125 -33.853697,"
150.946917,-33.853992,,"{lng: 150.946917, lat: -33.853992},","150.946917 -33.853992,"
150.946441,-33.853226,,"{lng: 150.946441, lat: -33.853226},","150.946441 -33.853226,"
150.945552,-33.852711,,"{lng: 150.945552, lat: -33.852711},","150.945552 -33.852711,"
150.9452,-33.851917,,"{lng: 150.9452, lat: -33.851917},","150.9452 -33.851917,"
150.94484,-33.851497,,"{lng: 150.94484, lat: -33.851497},","150.94484 -33.851497,"
150.94497,-33.850454,,"{lng: 150.94497, lat: -33.850454},","150.94497 -33.850454,"
150.944525,-33.849888,,"{lng: 150.944525, lat: -33.849888},","150.944525 -33.849888,"
150.942972,-33.84982,,"{lng: 150.942972, lat: -33.84982},","150.942972 -33.84982,"
150.942079,-33.849519,,"{lng: 150.942079, lat: -33.849519},","150.942079 -33.849519,"
150.941184,-33.850005,,"{lng: 150.941184, lat: -33.850005},","150.941184 -33.850005,"
150.940335,-33.850077,,"{lng: 150.940335, lat: -33.850077},","150.940335 -33.850077,"
150.940021,-33.8499,,"{lng: 150.940021, lat: -33.8499},","150.940021 -33.8499,"
150.939682,-33.849336,,"{lng: 150.939682, lat: -33.849336},","150.939682 -33.849336,"
150.939421,-33.84916,,"{lng: 150.939421, lat: -33.84916},","150.939421 -33.84916,"
150.938754,-33.849049,,"{lng: 150.938754, lat: -33.849049},","150.938754 -33.849049,"
150.937986,-33.849366,,"{lng: 150.937986, lat: -33.849366},","150.937986 -33.849366,"
150.937356,-33.849112,,"{lng: 150.937356, lat: -33.849112},","150.937356 -33.849112,"
150.937192,-33.848594,,"{lng: 150.937192, lat: -33.848594},","150.937192 -33.848594,"
150.938348,-33.848255,,"{lng: 150.938348, lat: -33.848255},","150.938348 -33.848255,"
150.938722,-33.847374,,"{lng: 150.938722, lat: -33.847374},","150.938722 -33.847374,"
150.938631,-33.846757,,"{lng: 150.938631, lat: -33.846757},","150.938631 -33.846757,"
150.938237,-33.846264,,"{lng: 150.938237, lat: -33.846264},","150.938237 -33.846264,"
150.937498,-33.846123,,"{lng: 150.937498, lat: -33.846123},","150.937498 -33.846123,"
150.936941,-33.84577,,"{lng: 150.936941, lat: -33.84577},","150.936941 -33.84577,"
150.935738,-33.845908,,"{lng: 150.935738, lat: -33.845908},","150.935738 -33.845908,"
150.935114,-33.845468,,"{lng: 150.935114, lat: -33.845468},","150.935114 -33.845468,"
150.934042,-33.845207,,"{lng: 150.934042, lat: -33.845207},","150.934042 -33.845207,"
150.933386,-33.845325,,"{lng: 150.933386, lat: -33.845325},","150.933386 -33.845325,"
150.932818,-33.8447,,"{lng: 150.932818, lat: -33.8447},","150.932818 -33.8447,"
150.932788,-33.843727,,"{lng: 150.932788, lat: -33.843727},","150.932788 -33.843727,"
150.932586,-33.843366,,"{lng: 150.932586, lat: -33.843366},","150.932586 -33.843366,"
150.93185,-33.843124,,"{lng: 150.93185, lat: -33.843124},","150.93185 -33.843124,"
150.930755,-33.843077,,"{lng: 150.930755, lat: -33.843077},","150.930755 -33.843077,"
150.930232,-33.842096,,"{lng: 150.930232, lat: -33.842096},","150.930232 -33.842096,"
150.929411,-33.841696,,"{lng: 150.929411, lat: -33.841696},","150.929411 -33.841696,"
150.927494,-33.841421,,"{lng: 150.927494, lat: -33.841421},","150.927494 -33.841421,"
150.926849,-33.841839,,"{lng: 150.926849, lat: -33.841839},","150.926849 -33.841839,"
150.925473,-33.841774,,"{lng: 150.925473, lat: -33.841774},","150.925473 -33.841774,"
150.925169,-33.84194,,"{lng: 150.925169, lat: -33.84194},","150.925169 -33.84194,"
150.925021,-33.842224,,"{lng: 150.925021, lat: -33.842224},","150.925021 -33.842224,"
150.924192,-33.842182,,"{lng: 150.924192, lat: -33.842182},","150.924192 -33.842182,"
150.923069,-33.841132,,"{lng: 150.923069, lat: -33.841132},","150.923069 -33.841132,"
150.922573,-33.839736,,"{lng: 150.922573, lat: -33.839736},","150.922573 -33.839736,"
150.922003,-33.839226,,"{lng: 150.922003, lat: -33.839226},","150.922003 -33.839226,"
150.920732,-33.839233,,"{lng: 150.920732, lat: -33.839233},","150.920732 -33.839233,"
150.920043,-33.838506,,"{lng: 150.920043, lat: -33.838506},","150.920043 -33.838506,"
150.918516,-33.838123,,"{lng: 150.918516, lat: -33.838123},","150.918516 -33.838123,"
150.917995,-33.837756,,"{lng: 150.917995, lat: -33.837756},","150.917995 -33.837756,"
150.917208,-33.838172,,"{lng: 150.917208, lat: -33.838172},","150.917208 -33.838172,"
150.917032,-33.837425,,"{lng: 150.917032, lat: -33.837425},","150.917032 -33.837425,"
150.91661,-33.837347,,"{lng: 150.91661, lat: -33.837347},","150.91661 -33.837347,"
150.916108,-33.836952,,"{lng: 150.916108, lat: -33.836952},","150.916108 -33.836952,"
150.915881,-33.836118,,"{lng: 150.915881, lat: -33.836118},","150.915881 -33.836118,"
150.915553,-33.835783,,"{lng: 150.915553, lat: -33.835783},","150.915553 -33.835783,"
150.91522,-33.835706,,"{lng: 150.91522, lat: -33.835706},","150.91522 -33.835706,"
150.914436,-33.835994,,"{lng: 150.914436, lat: -33.835994},","150.914436 -33.835994,"
150.913926,-33.835928,,"{lng: 150.913926, lat: -33.835928},","150.913926 -33.835928,"
150.912507,-33.834702,,"{lng: 150.912507, lat: -33.834702},","150.912507 -33.834702,"
150.914401,-33.832307,,"{lng: 150.914401, lat: -33.832307},","150.914401 -33.832307,"
150.913619,-33.831786,,"{lng: 150.913619, lat: -33.831786},","150.913619 -33.831786,"
150.912987,-33.830931,,"{lng: 150.912987, lat: -33.830931},","150.912987 -33.830931,"
150.911997,-33.830257,,"{lng: 150.911997, lat: -33.830257},","150.911997 -33.830257,"
150.910985,-33.829037,,"{lng: 150.910985, lat: -33.829037},","150.910985 -33.829037,"
150.910611,-33.828416,,"{lng: 150.910611, lat: -33.828416},","150.910611 -33.828416,"
150.910267,-33.826592,,"{lng: 150.910267, lat: -33.826592},","150.910267 -33.826592,"
150.9089,-33.825382,,"{lng: 150.9089, lat: -33.825382},","150.9089 -33.825382,"
150.895908,-33.828553,,"{lng: 150.895908, lat: -33.828553},","150.895908 -33.828553,"
150.891523,-33.830767,,"{lng: 150.891523, lat: -33.830767},","150.891523 -33.830767,"
150.889902,-33.83304,,"{lng: 150.889902, lat: -33.83304},","150.889902 -33.83304,"
150.889525,-33.833084,,"{lng: 150.889525, lat: -33.833084},","150.889525 -33.833084,"
150.889377,-33.833638,,"{lng: 150.889377, lat: -33.833638},","150.889377 -33.833638,"
150.888959,-33.834002,,"{lng: 150.888959, lat: -33.834002},","150.888959 -33.834002,"
150.888483,-33.833875,,"{lng: 150.888483, lat: -33.833875},","150.888483 -33.833875,"
150.888531,-33.833172,,"{lng: 150.888531, lat: -33.833172},","150.888531 -33.833172,"
150.888727,-33.832727,,"{lng: 150.888727, lat: -33.832727},","150.888727 -33.832727,"
150.888895,-33.832671,,"{lng: 150.888895, lat: -33.832671},","150.888895 -33.832671,"
150.888875,-33.832457,,"{lng: 150.888875, lat: -33.832457},","150.888875 -33.832457,"
150.888609,-33.832324,,"{lng: 150.888609, lat: -33.832324},","150.888609 -33.832324,"
150.888788,-33.83182,,"{lng: 150.888788, lat: -33.83182},","150.888788 -33.83182,"
150.888671,-33.831183,,"{lng: 150.888671, lat: -33.831183},","150.888671 -33.831183,"
150.88819,-33.829915,,"{lng: 150.88819, lat: -33.829915},","150.88819 -33.829915,"
150.887965,-33.829739,,"{lng: 150.887965, lat: -33.829739},","150.887965 -33.829739,"
150.886846,-33.829893,,"{lng: 150.886846, lat: -33.829893},","150.886846 -33.829893,"
150.8853,-33.831313,,"{lng: 150.8853, lat: -33.831313},","150.8853 -33.831313,"
150.884899,-33.831449,,"{lng: 150.884899, lat: -33.831449},","150.884899 -33.831449,"
150.884633,-33.831292,,"{lng: 150.884633, lat: -33.831292},","150.884633 -33.831292,"
150.884326,-33.831382,,"{lng: 150.884326, lat: -33.831382},","150.884326 -33.831382,"
150.883854,-33.831786,,"{lng: 150.883854, lat: -33.831786},","150.883854 -33.831786,"
150.883604,-33.83226,,"{lng: 150.883604, lat: -33.83226},","150.883604 -33.83226,"
150.883452,-33.832367,,"{lng: 150.883452, lat: -33.832367},","150.883452 -33.832367,"
150.883326,-33.832267,,"{lng: 150.883326, lat: -33.832267},","150.883326 -33.832267,"
150.883653,-33.830429,,"{lng: 150.883653, lat: -33.830429},","150.883653 -33.830429,"
150.88437,-33.829479,,"{lng: 150.88437, lat: -33.829479},","150.88437 -33.829479,"
150.884714,-33.828397,,"{lng: 150.884714, lat: -33.828397},","150.884714 -33.828397,"
150.884688,-33.828038,,"{lng: 150.884688, lat: -33.828038},","150.884688 -33.828038,"
150.884277,-33.827502,,"{lng: 150.884277, lat: -33.827502},","150.884277 -33.827502,"
150.883574,-33.827375,,"{lng: 150.883574, lat: -33.827375},","150.883574 -33.827375,"
150.882796,-33.827448,,"{lng: 150.882796, lat: -33.827448},","150.882796 -33.827448,"
150.881886,-33.827833,,"{lng: 150.881886, lat: -33.827833},","150.881886 -33.827833,"
150.881129,-33.827763,,"{lng: 150.881129, lat: -33.827763},","150.881129 -33.827763,"
150.8807,-33.827985,,"{lng: 150.8807, lat: -33.827985},","150.8807 -33.827985,"
150.880447,-33.828313,,"{lng: 150.880447, lat: -33.828313},","150.880447 -33.828313,"
150.880398,-33.828066,,"{lng: 150.880398, lat: -33.828066},","150.880398 -33.828066,"
150.880257,-33.828064,,"{lng: 150.880257, lat: -33.828064},","150.880257 -33.828064,"
150.879258,-33.829206,,"{lng: 150.879258, lat: -33.829206},","150.879258 -33.829206,"
150.878186,-33.829002,,"{lng: 150.878186, lat: -33.829002},","150.878186 -33.829002,"
150.877789,-33.828623,,"{lng: 150.877789, lat: -33.828623},","150.877789 -33.828623,"
150.877872,-33.828109,,"{lng: 150.877872, lat: -33.828109},","150.877872 -33.828109,"
150.878291,-33.827572,,"{lng: 150.878291, lat: -33.827572},","150.878291 -33.827572,"
150.877806,-33.827206,,"{lng: 150.877806, lat: -33.827206},","150.877806 -33.827206,"
150.8769,-33.827552,,"{lng: 150.8769, lat: -33.827552},","150.8769 -33.827552,"
150.877045,-33.827294,,"{lng: 150.877045, lat: -33.827294},","150.877045 -33.827294,"
150.877725,-33.826904,,"{lng: 150.877725, lat: -33.826904},","150.877725 -33.826904,"
150.875739,-33.82657,,"{lng: 150.875739, lat: -33.82657},","150.875739 -33.82657,"
150.875619,-33.826411,,"{lng: 150.875619, lat: -33.826411},","150.875619 -33.826411,"
150.875907,-33.826158,,"{lng: 150.875907, lat: -33.826158},","150.875907 -33.826158,"
150.875831,-33.825684,,"{lng: 150.875831, lat: -33.825684},","150.875831 -33.825684,"
150.874946,-33.825798,,"{lng: 150.874946, lat: -33.825798},","150.874946 -33.825798,"
