Long,Lat,,,
150.877515,-33.651773,"{ lat: -33.651773, lng: 150.877515},","150.877515 -33.651773,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.877515, -33.651773, geography::STPointFromText('POINT(150.877515 -33.651773)', 4326));"
150.874367,-33.65646,"{ lat: -33.65646, lng: 150.874367},","150.874367 -33.65646,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.874367, -33.65646, geography::STPointFromText('POINT(150.874367 -33.65646)', 4326));"
150.87402,-33.656763,"{ lat: -33.656763, lng: 150.87402},","150.87402 -33.656763,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.87402, -33.656763, geography::STPointFromText('POINT(150.87402 -33.656763)', 4326));"
150.873316,-33.655994,"{ lat: -33.655994, lng: 150.873316},","150.873316 -33.655994,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.873316, -33.655994, geography::STPointFromText('POINT(150.873316 -33.655994)', 4326));"
150.871631,-33.654822,"{ lat: -33.654822, lng: 150.871631},","150.871631 -33.654822,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.871631, -33.654822, geography::STPointFromText('POINT(150.871631 -33.654822)', 4326));"
150.867872,-33.653277,"{ lat: -33.653277, lng: 150.867872},","150.867872 -33.653277,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.867872, -33.653277, geography::STPointFromText('POINT(150.867872 -33.653277)', 4326));"
150.866382,-33.652394,"{ lat: -33.652394, lng: 150.866382},","150.866382 -33.652394,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.866382, -33.652394, geography::STPointFromText('POINT(150.866382 -33.652394)', 4326));"
150.863876,-33.650168,"{ lat: -33.650168, lng: 150.863876},","150.863876 -33.650168,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.863876, -33.650168, geography::STPointFromText('POINT(150.863876 -33.650168)', 4326));"
150.860391,-33.64789,"{ lat: -33.64789, lng: 150.860391},","150.860391 -33.64789,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.860391, -33.64789, geography::STPointFromText('POINT(150.860391 -33.64789)', 4326));"
150.85874,-33.646317,"{ lat: -33.646317, lng: 150.85874},","150.85874 -33.646317,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.85874, -33.646317, geography::STPointFromText('POINT(150.85874 -33.646317)', 4326));"
150.835156,-33.658009,"{ lat: -33.658009, lng: 150.835156},","150.835156 -33.658009,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.835156, -33.658009, geography::STPointFromText('POINT(150.835156 -33.658009)', 4326));"
150.832456,-33.657088,"{ lat: -33.657088, lng: 150.832456},","150.832456 -33.657088,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.832456, -33.657088, geography::STPointFromText('POINT(150.832456 -33.657088)', 4326));"
150.827172,-33.657267,"{ lat: -33.657267, lng: 150.827172},","150.827172 -33.657267,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.827172, -33.657267, geography::STPointFromText('POINT(150.827172 -33.657267)', 4326));"
150.826472,-33.658201,"{ lat: -33.658201, lng: 150.826472},","150.826472 -33.658201,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.826472, -33.658201, geography::STPointFromText('POINT(150.826472 -33.658201)', 4326));"
150.824356,-33.659501,"{ lat: -33.659501, lng: 150.824356},","150.824356 -33.659501,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.824356, -33.659501, geography::STPointFromText('POINT(150.824356 -33.659501)', 4326));"
150.822018,-33.660148,"{ lat: -33.660148, lng: 150.822018},","150.822018 -33.660148,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.822018, -33.660148, geography::STPointFromText('POINT(150.822018 -33.660148)', 4326));"
150.82022,-33.66046,"{ lat: -33.66046, lng: 150.82022},","150.82022 -33.66046,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.82022, -33.66046, geography::STPointFromText('POINT(150.82022 -33.66046)', 4326));"
150.818625,-33.661343,"{ lat: -33.661343, lng: 150.818625},","150.818625 -33.661343,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.818625, -33.661343, geography::STPointFromText('POINT(150.818625 -33.661343)', 4326));"
150.81737,-33.662387,"{ lat: -33.662387, lng: 150.81737},","150.81737 -33.662387,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.81737, -33.662387, geography::STPointFromText('POINT(150.81737 -33.662387)', 4326));"
150.816643,-33.663377,"{ lat: -33.663377, lng: 150.816643},","150.816643 -33.663377,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.816643, -33.663377, geography::STPointFromText('POINT(150.816643 -33.663377)', 4326));"
150.815523,-33.665498,"{ lat: -33.665498, lng: 150.815523},","150.815523 -33.665498,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.815523, -33.665498, geography::STPointFromText('POINT(150.815523 -33.665498)', 4326));"
150.813439,-33.667572,"{ lat: -33.667572, lng: 150.813439},","150.813439 -33.667572,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.813439, -33.667572, geography::STPointFromText('POINT(150.813439 -33.667572)', 4326));"
150.813061,-33.669278,"{ lat: -33.669278, lng: 150.813061},","150.813061 -33.669278,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.813061, -33.669278, geography::STPointFromText('POINT(150.813061 -33.669278)', 4326));"
150.813766,-33.671323,"{ lat: -33.671323, lng: 150.813766},","150.813766 -33.671323,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.813766, -33.671323, geography::STPointFromText('POINT(150.813766 -33.671323)', 4326));"
150.813903,-33.672146,"{ lat: -33.672146, lng: 150.813903},","150.813903 -33.672146,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.813903, -33.672146, geography::STPointFromText('POINT(150.813903 -33.672146)', 4326));"
150.814788,-33.67334,"{ lat: -33.67334, lng: 150.814788},","150.814788 -33.67334,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.814788, -33.67334, geography::STPointFromText('POINT(150.814788 -33.67334)', 4326));"
150.815846,-33.673962,"{ lat: -33.673962, lng: 150.815846},","150.815846 -33.673962,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.815846, -33.673962, geography::STPointFromText('POINT(150.815846 -33.673962)', 4326));"
150.816378,-33.674041,"{ lat: -33.674041, lng: 150.816378},","150.816378 -33.674041,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.816378, -33.674041, geography::STPointFromText('POINT(150.816378 -33.674041)', 4326));"
150.817873,-33.673762,"{ lat: -33.673762, lng: 150.817873},","150.817873 -33.673762,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.817873, -33.673762, geography::STPointFromText('POINT(150.817873 -33.673762)', 4326));"
150.818466,-33.673933,"{ lat: -33.673933, lng: 150.818466},","150.818466 -33.673933,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.818466, -33.673933, geography::STPointFromText('POINT(150.818466 -33.673933)', 4326));"
150.818878,-33.674505,"{ lat: -33.674505, lng: 150.818878},","150.818878 -33.674505,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.818878, -33.674505, geography::STPointFromText('POINT(150.818878 -33.674505)', 4326));"
150.819136,-33.675206,"{ lat: -33.675206, lng: 150.819136},","150.819136 -33.675206,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.819136, -33.675206, geography::STPointFromText('POINT(150.819136 -33.675206)', 4326));"
150.819109,-33.675789,"{ lat: -33.675789, lng: 150.819109},","150.819109 -33.675789,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.819109, -33.675789, geography::STPointFromText('POINT(150.819109 -33.675789)', 4326));"
150.818647,-33.67638,"{ lat: -33.67638, lng: 150.818647},","150.818647 -33.67638,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.818647, -33.67638, geography::STPointFromText('POINT(150.818647 -33.67638)', 4326));"
150.818156,-33.676736,"{ lat: -33.676736, lng: 150.818156},","150.818156 -33.676736,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.818156, -33.676736, geography::STPointFromText('POINT(150.818156 -33.676736)', 4326));"
150.815329,-33.67753,"{ lat: -33.67753, lng: 150.815329},","150.815329 -33.67753,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.815329, -33.67753, geography::STPointFromText('POINT(150.815329 -33.67753)', 4326));"
150.813662,-33.677787,"{ lat: -33.677787, lng: 150.813662},","150.813662 -33.677787,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.813662, -33.677787, geography::STPointFromText('POINT(150.813662 -33.677787)', 4326));"
150.81191,-33.677651,"{ lat: -33.677651, lng: 150.81191},","150.81191 -33.677651,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.81191, -33.677651, geography::STPointFromText('POINT(150.81191 -33.677651)', 4326));"
150.810966,-33.67835,"{ lat: -33.67835, lng: 150.810966},","150.810966 -33.67835,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.810966, -33.67835, geography::STPointFromText('POINT(150.810966 -33.67835)', 4326));"
150.810212,-33.678533,"{ lat: -33.678533, lng: 150.810212},","150.810212 -33.678533,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.810212, -33.678533, geography::STPointFromText('POINT(150.810212 -33.678533)', 4326));"
150.808162,-33.678252,"{ lat: -33.678252, lng: 150.808162},","150.808162 -33.678252,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.808162, -33.678252, geography::STPointFromText('POINT(150.808162 -33.678252)', 4326));"
150.807524,-33.678094,"{ lat: -33.678094, lng: 150.807524},","150.807524 -33.678094,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.807524, -33.678094, geography::STPointFromText('POINT(150.807524 -33.678094)', 4326));"
150.807093,-33.677817,"{ lat: -33.677817, lng: 150.807093},","150.807093 -33.677817,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.807093, -33.677817, geography::STPointFromText('POINT(150.807093 -33.677817)', 4326));"
150.805853,-33.676502,"{ lat: -33.676502, lng: 150.805853},","150.805853 -33.676502,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.805853, -33.676502, geography::STPointFromText('POINT(150.805853 -33.676502)', 4326));"
150.805272,-33.675272,"{ lat: -33.675272, lng: 150.805272},","150.805272 -33.675272,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.805272, -33.675272, geography::STPointFromText('POINT(150.805272 -33.675272)', 4326));"
150.804611,-33.674492,"{ lat: -33.674492, lng: 150.804611},","150.804611 -33.674492,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.804611, -33.674492, geography::STPointFromText('POINT(150.804611 -33.674492)', 4326));"
150.803912,-33.674449,"{ lat: -33.674449, lng: 150.803912},","150.803912 -33.674449,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.803912, -33.674449, geography::STPointFromText('POINT(150.803912 -33.674449)', 4326));"
150.80394,-33.67525,"{ lat: -33.67525, lng: 150.80394},","150.80394 -33.67525,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.80394, -33.67525, geography::STPointFromText('POINT(150.80394 -33.67525)', 4326));"
150.803626,-33.675515,"{ lat: -33.675515, lng: 150.803626},","150.803626 -33.675515,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.803626, -33.675515, geography::STPointFromText('POINT(150.803626 -33.675515)', 4326));"
150.803216,-33.675515,"{ lat: -33.675515, lng: 150.803216},","150.803216 -33.675515,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.803216, -33.675515, geography::STPointFromText('POINT(150.803216 -33.675515)', 4326));"
150.80262,-33.675232,"{ lat: -33.675232, lng: 150.80262},","150.80262 -33.675232,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.80262, -33.675232, geography::STPointFromText('POINT(150.80262 -33.675232)', 4326));"
150.80165,-33.67517,"{ lat: -33.67517, lng: 150.80165},","150.80165 -33.67517,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.80165, -33.67517, geography::STPointFromText('POINT(150.80165 -33.67517)', 4326));"
150.801501,-33.675032,"{ lat: -33.675032, lng: 150.801501},","150.801501 -33.675032,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.801501, -33.675032, geography::STPointFromText('POINT(150.801501 -33.675032)', 4326));"
150.801429,-33.67429,"{ lat: -33.67429, lng: 150.801429},","150.801429 -33.67429,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.801429, -33.67429, geography::STPointFromText('POINT(150.801429 -33.67429)', 4326));"
150.800732,-33.674481,"{ lat: -33.674481, lng: 150.800732},","150.800732 -33.674481,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.800732, -33.674481, geography::STPointFromText('POINT(150.800732 -33.674481)', 4326));"
150.799845,-33.675156,"{ lat: -33.675156, lng: 150.799845},","150.799845 -33.675156,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.799845, -33.675156, geography::STPointFromText('POINT(150.799845 -33.675156)', 4326));"
150.799707,-33.675622,"{ lat: -33.675622, lng: 150.799707},","150.799707 -33.675622,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.799707, -33.675622, geography::STPointFromText('POINT(150.799707 -33.675622)', 4326));"
150.799169,-33.67571,"{ lat: -33.67571, lng: 150.799169},","150.799169 -33.67571,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.799169, -33.67571, geography::STPointFromText('POINT(150.799169 -33.67571)', 4326));"
150.797771,-33.677578,"{ lat: -33.677578, lng: 150.797771},","150.797771 -33.677578,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.797771, -33.677578, geography::STPointFromText('POINT(150.797771 -33.677578)', 4326));"
150.796805,-33.679157,"{ lat: -33.679157, lng: 150.796805},","150.796805 -33.679157,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.796805, -33.679157, geography::STPointFromText('POINT(150.796805 -33.679157)', 4326));"
150.796167,-33.681399,"{ lat: -33.681399, lng: 150.796167},","150.796167 -33.681399,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.796167, -33.681399, geography::STPointFromText('POINT(150.796167 -33.681399)', 4326));"
150.795748,-33.68317,"{ lat: -33.68317, lng: 150.795748},","150.795748 -33.68317,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.795748, -33.68317, geography::STPointFromText('POINT(150.795748 -33.68317)', 4326));"
150.79571,-33.684099,"{ lat: -33.684099, lng: 150.79571},","150.79571 -33.684099,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.79571, -33.684099, geography::STPointFromText('POINT(150.79571 -33.684099)', 4326));"
150.795494,-33.684634,"{ lat: -33.684634, lng: 150.795494},","150.795494 -33.684634,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.795494, -33.684634, geography::STPointFromText('POINT(150.795494 -33.684634)', 4326));"
150.795086,-33.684965,"{ lat: -33.684965, lng: 150.795086},","150.795086 -33.684965,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.795086, -33.684965, geography::STPointFromText('POINT(150.795086 -33.684965)', 4326));"
150.792486,-33.685726,"{ lat: -33.685726, lng: 150.792486},","150.792486 -33.685726,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.792486, -33.685726, geography::STPointFromText('POINT(150.792486 -33.685726)', 4326));"
150.790364,-33.686672,"{ lat: -33.686672, lng: 150.790364},","150.790364 -33.686672,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.790364, -33.686672, geography::STPointFromText('POINT(150.790364 -33.686672)', 4326));"
150.790304,-33.686924,"{ lat: -33.686924, lng: 150.790304},","150.790304 -33.686924,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.790304, -33.686924, geography::STPointFromText('POINT(150.790304 -33.686924)', 4326));"
150.79059,-33.687374,"{ lat: -33.687374, lng: 150.79059},","150.79059 -33.687374,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.79059, -33.687374, geography::STPointFromText('POINT(150.79059 -33.687374)', 4326));"
150.79151,-33.68787,"{ lat: -33.68787, lng: 150.79151},","150.79151 -33.68787,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.79151, -33.68787, geography::STPointFromText('POINT(150.79151 -33.68787)', 4326));"
150.791548,-33.688265,"{ lat: -33.688265, lng: 150.791548},","150.791548 -33.688265,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.791548, -33.688265, geography::STPointFromText('POINT(150.791548 -33.688265)', 4326));"
150.791191,-33.6888,"{ lat: -33.6888, lng: 150.791191},","150.791191 -33.6888,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.791191, -33.6888, geography::STPointFromText('POINT(150.791191 -33.6888)', 4326));"
150.790316,-33.689173,"{ lat: -33.689173, lng: 150.790316},","150.790316 -33.689173,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.790316, -33.689173, geography::STPointFromText('POINT(150.790316 -33.689173)', 4326));"
150.789749,-33.689908,"{ lat: -33.689908, lng: 150.789749},","150.789749 -33.689908,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.789749, -33.689908, geography::STPointFromText('POINT(150.789749 -33.689908)', 4326));"
150.789332,-33.690158,"{ lat: -33.690158, lng: 150.789332},","150.789332 -33.690158,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.789332, -33.690158, geography::STPointFromText('POINT(150.789332 -33.690158)', 4326));"
150.788001,-33.690694,"{ lat: -33.690694, lng: 150.788001},","150.788001 -33.690694,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.788001, -33.690694, geography::STPointFromText('POINT(150.788001 -33.690694)', 4326));"
150.785831,-33.691214,"{ lat: -33.691214, lng: 150.785831},","150.785831 -33.691214,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.785831, -33.691214, geography::STPointFromText('POINT(150.785831 -33.691214)', 4326));"
150.785598,-33.691611,"{ lat: -33.691611, lng: 150.785598},","150.785598 -33.691611,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.785598, -33.691611, geography::STPointFromText('POINT(150.785598 -33.691611)', 4326));"
150.785859,-33.69223,"{ lat: -33.69223, lng: 150.785859},","150.785859 -33.69223,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.785859, -33.69223, geography::STPointFromText('POINT(150.785859 -33.69223)', 4326));"
150.785809,-33.692455,"{ lat: -33.692455, lng: 150.785809},","150.785809 -33.692455,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.785809, -33.692455, geography::STPointFromText('POINT(150.785809 -33.692455)', 4326));"
150.785057,-33.693379,"{ lat: -33.693379, lng: 150.785057},","150.785057 -33.693379,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.785057, -33.693379, geography::STPointFromText('POINT(150.785057 -33.693379)', 4326));"
150.783578,-33.694327,"{ lat: -33.694327, lng: 150.783578},","150.783578 -33.694327,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.783578, -33.694327, geography::STPointFromText('POINT(150.783578 -33.694327)', 4326));"
150.78306,-33.694504,"{ lat: -33.694504, lng: 150.78306},","150.78306 -33.694504,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.78306, -33.694504, geography::STPointFromText('POINT(150.78306 -33.694504)', 4326));"
150.782324,-33.694505,"{ lat: -33.694505, lng: 150.782324},","150.782324 -33.694505,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.782324, -33.694505, geography::STPointFromText('POINT(150.782324 -33.694505)', 4326));"
150.781546,-33.694808,"{ lat: -33.694808, lng: 150.781546},","150.781546 -33.694808,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.781546, -33.694808, geography::STPointFromText('POINT(150.781546 -33.694808)', 4326));"
150.780199,-33.695945,"{ lat: -33.695945, lng: 150.780199},","150.780199 -33.695945,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.780199, -33.695945, geography::STPointFromText('POINT(150.780199 -33.695945)', 4326));"
150.779922,-33.696728,"{ lat: -33.696728, lng: 150.779922},","150.779922 -33.696728,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.779922, -33.696728, geography::STPointFromText('POINT(150.779922 -33.696728)', 4326));"
150.779339,-33.696804,"{ lat: -33.696804, lng: 150.779339},","150.779339 -33.696804,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.779339, -33.696804, geography::STPointFromText('POINT(150.779339 -33.696804)', 4326));"
150.779092,-33.696972,"{ lat: -33.696972, lng: 150.779092},","150.779092 -33.696972,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.779092, -33.696972, geography::STPointFromText('POINT(150.779092 -33.696972)', 4326));"
150.779234,-33.697561,"{ lat: -33.697561, lng: 150.779234},","150.779234 -33.697561,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.779234, -33.697561, geography::STPointFromText('POINT(150.779234 -33.697561)', 4326));"
150.779633,-33.698041,"{ lat: -33.698041, lng: 150.779633},","150.779633 -33.698041,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.779633, -33.698041, geography::STPointFromText('POINT(150.779633 -33.698041)', 4326));"
150.779613,-33.699358,"{ lat: -33.699358, lng: 150.779613},","150.779613 -33.699358,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.779613, -33.699358, geography::STPointFromText('POINT(150.779613 -33.699358)', 4326));"
150.780053,-33.699927,"{ lat: -33.699927, lng: 150.780053},","150.780053 -33.699927,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.780053, -33.699927, geography::STPointFromText('POINT(150.780053 -33.699927)', 4326));"
150.779404,-33.70162,"{ lat: -33.70162, lng: 150.779404},","150.779404 -33.70162,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.779404, -33.70162, geography::STPointFromText('POINT(150.779404 -33.70162)', 4326));"
150.778888,-33.70216,"{ lat: -33.70216, lng: 150.778888},","150.778888 -33.70216,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.778888, -33.70216, geography::STPointFromText('POINT(150.778888 -33.70216)', 4326));"
150.777382,-33.70306,"{ lat: -33.70306, lng: 150.777382},","150.777382 -33.70306,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.777382, -33.70306, geography::STPointFromText('POINT(150.777382 -33.70306)', 4326));"
150.776664,-33.703033,"{ lat: -33.703033, lng: 150.776664},","150.776664 -33.703033,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.776664, -33.703033, geography::STPointFromText('POINT(150.776664 -33.703033)', 4326));"
150.776484,-33.703374,"{ lat: -33.703374, lng: 150.776484},","150.776484 -33.703374,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.776484, -33.703374, geography::STPointFromText('POINT(150.776484 -33.703374)', 4326));"
150.776673,-33.704022,"{ lat: -33.704022, lng: 150.776673},","150.776673 -33.704022,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.776673, -33.704022, geography::STPointFromText('POINT(150.776673 -33.704022)', 4326));"
150.776292,-33.704173,"{ lat: -33.704173, lng: 150.776292},","150.776292 -33.704173,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.776292, -33.704173, geography::STPointFromText('POINT(150.776292 -33.704173)', 4326));"
150.77585,-33.704064,"{ lat: -33.704064, lng: 150.77585},","150.77585 -33.704064,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.77585, -33.704064, geography::STPointFromText('POINT(150.77585 -33.704064)', 4326));"
150.77489,-33.703445,"{ lat: -33.703445, lng: 150.77489},","150.77489 -33.703445,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.77489, -33.703445, geography::STPointFromText('POINT(150.77489 -33.703445)', 4326));"
150.772859,-33.701415,"{ lat: -33.701415, lng: 150.772859},","150.772859 -33.701415,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.772859, -33.701415, geography::STPointFromText('POINT(150.772859 -33.701415)', 4326));"
150.77246,-33.70131,"{ lat: -33.70131, lng: 150.77246},","150.77246 -33.70131,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.77246, -33.70131, geography::STPointFromText('POINT(150.77246 -33.70131)', 4326));"
150.772039,-33.701387,"{ lat: -33.701387, lng: 150.772039},","150.772039 -33.701387,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.772039, -33.701387, geography::STPointFromText('POINT(150.772039 -33.701387)', 4326));"
150.771181,-33.701799,"{ lat: -33.701799, lng: 150.771181},","150.771181 -33.701799,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.771181, -33.701799, geography::STPointFromText('POINT(150.771181 -33.701799)', 4326));"
150.769551,-33.703066,"{ lat: -33.703066, lng: 150.769551},","150.769551 -33.703066,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.769551, -33.703066, geography::STPointFromText('POINT(150.769551 -33.703066)', 4326));"
150.769015,-33.704244,"{ lat: -33.704244, lng: 150.769015},","150.769015 -33.704244,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.769015, -33.704244, geography::STPointFromText('POINT(150.769015 -33.704244)', 4326));"
150.76795,-33.705701,"{ lat: -33.705701, lng: 150.76795},","150.76795 -33.705701,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.76795, -33.705701, geography::STPointFromText('POINT(150.76795 -33.705701)', 4326));"
150.767606,-33.705766,"{ lat: -33.705766, lng: 150.767606},","150.767606 -33.705766,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.767606, -33.705766, geography::STPointFromText('POINT(150.767606 -33.705766)', 4326));"
150.766623,-33.705449,"{ lat: -33.705449, lng: 150.766623},","150.766623 -33.705449,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.766623, -33.705449, geography::STPointFromText('POINT(150.766623 -33.705449)', 4326));"
150.766291,-33.705489,"{ lat: -33.705489, lng: 150.766291},","150.766291 -33.705489,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.766291, -33.705489, geography::STPointFromText('POINT(150.766291 -33.705489)', 4326));"
150.766006,-33.705822,"{ lat: -33.705822, lng: 150.766006},","150.766006 -33.705822,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (150.766006, -33.705822, geography::STPointFromText('POINT(150.766006 -33.705822)', 4326));"
