Long,Lat,,,
151.047647,-33.753666,"{ lat: -33.753666, lng: 151.047647},","151.047647 -33.753666,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.047647, -33.753666, geography::STPointFromText('POINT(151.047647 -33.753666)', 4326));"
151.047899,-33.752839,"{ lat: -33.752839, lng: 151.047899},","151.047899 -33.752839,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.047899, -33.752839, geography::STPointFromText('POINT(151.047899 -33.752839)', 4326));"
151.049001,-33.751128,"{ lat: -33.751128, lng: 151.049001},","151.049001 -33.751128,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.049001, -33.751128, geography::STPointFromText('POINT(151.049001 -33.751128)', 4326));"
151.049433,-33.748748,"{ lat: -33.748748, lng: 151.049433},","151.049433 -33.748748,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.049433, -33.748748, geography::STPointFromText('POINT(151.049433 -33.748748)', 4326));"
151.050163,-33.747753,"{ lat: -33.747753, lng: 151.050163},","151.050163 -33.747753,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.050163, -33.747753, geography::STPointFromText('POINT(151.050163 -33.747753)', 4326));"
151.049715,-33.747721,"{ lat: -33.747721, lng: 151.049715},","151.049715 -33.747721,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.049715, -33.747721, geography::STPointFromText('POINT(151.049715 -33.747721)', 4326));"
151.049411,-33.747496,"{ lat: -33.747496, lng: 151.049411},","151.049411 -33.747496,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.049411, -33.747496, geography::STPointFromText('POINT(151.049411 -33.747496)', 4326));"
151.049037,-33.746882,"{ lat: -33.746882, lng: 151.049037},","151.049037 -33.746882,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.049037, -33.746882, geography::STPointFromText('POINT(151.049037 -33.746882)', 4326));"
151.048304,-33.74495,"{ lat: -33.74495, lng: 151.048304},","151.048304 -33.74495,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.048304, -33.74495, geography::STPointFromText('POINT(151.048304 -33.74495)', 4326));"
151.047762,-33.744133,"{ lat: -33.744133, lng: 151.047762},","151.047762 -33.744133,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.047762, -33.744133, geography::STPointFromText('POINT(151.047762 -33.744133)', 4326));"
151.046947,-33.743364,"{ lat: -33.743364, lng: 151.046947},","151.046947 -33.743364,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.046947, -33.743364, geography::STPointFromText('POINT(151.046947 -33.743364)', 4326));"
151.046037,-33.742903,"{ lat: -33.742903, lng: 151.046037},","151.046037 -33.742903,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.046037, -33.742903, geography::STPointFromText('POINT(151.046037 -33.742903)', 4326));"
151.042916,-33.741945,"{ lat: -33.741945, lng: 151.042916},","151.042916 -33.741945,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.042916, -33.741945, geography::STPointFromText('POINT(151.042916 -33.741945)', 4326));"
151.040615,-33.740522,"{ lat: -33.740522, lng: 151.040615},","151.040615 -33.740522,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.040615, -33.740522, geography::STPointFromText('POINT(151.040615 -33.740522)', 4326));"
