Long,Lat,,,
151.032394,-33.692318,0,,"{ lng: 151.032394, lat: -33.692318 },"
151.032076,-33.691567,0,,"{ lng: 151.032076, lat: -33.691567 },"
151.030974,-33.690122,0,,"{ lng: 151.030974, lat: -33.690122 },"
151.029769,-33.688977,0,,"{ lng: 151.029769, lat: -33.688977 },"
151.028038,-33.687843,0,,"{ lng: 151.028038, lat: -33.687843 },"
151.027582,-33.687268,0,,"{ lng: 151.027582, lat: -33.687268 },"
151.027494,-33.685824,0,,"{ lng: 151.027494, lat: -33.685824 },"
151.027642,-33.684408,0,,"{ lng: 151.027642, lat: -33.684408 },"
151.028442,-33.681874,0,,"{ lng: 151.028442, lat: -33.681874 },"
151.028358,-33.679867,0,,"{ lng: 151.028358, lat: -33.679867 },"
151.028079,-33.679243,0,,"{ lng: 151.028079, lat: -33.679243 },"
151.027046,-33.677921,0,,"{ lng: 151.027046, lat: -33.677921 },"
151.026698,-33.677254,0,,"{ lng: 151.026698, lat: -33.677254 },"
151.025317,-33.672196,0,,"{ lng: 151.025317, lat: -33.672196 },"
151.02535,-33.671057,0,,"{ lng: 151.02535, lat: -33.671057 },"
151.025788,-33.669309,0,,"{ lng: 151.025788, lat: -33.669309 },"
151.025505,-33.667338,0,,"{ lng: 151.025505, lat: -33.667338 },"
151.025527,-33.666579,0,,"{ lng: 151.025527, lat: -33.666579 },"
151.026184,-33.664469,0,,"{ lng: 151.026184, lat: -33.664469 },"
151.026214,-33.663894,0,,"{ lng: 151.026214, lat: -33.663894 },"
151.025447,-33.662548,0,,"{ lng: 151.025447, lat: -33.662548 },"
151.02343,-33.660095,0,,"{ lng: 151.02343, lat: -33.660095 },"
151.022103,-33.657384,0,,"{ lng: 151.022103, lat: -33.657384 },"
151.020735,-33.655169,0,,"{ lng: 151.020735, lat: -33.655169 },"
151.019756,-33.651813,0,,"{ lng: 151.019756, lat: -33.651813 },"
151.019883,-33.651114,0,,"{ lng: 151.019883, lat: -33.651114 },"
151.020691,-33.650191,0,,"{ lng: 151.020691, lat: -33.650191 },"
151.021089,-33.649437,0,,"{ lng: 151.021089, lat: -33.649437 },"
151.021503,-33.646341,0,,"{ lng: 151.021503, lat: -33.646341 },"
151.022408,-33.643233,0,,"{ lng: 151.022408, lat: -33.643233 },"
151.022433,-33.641254,0,,"{ lng: 151.022433, lat: -33.641254 },"
151.022112,-33.637519,0,,"{ lng: 151.022112, lat: -33.637519 },"
151.022857,-33.63335,0,,"{ lng: 151.022857, lat: -33.63335 },"
151.022866,-33.632368,0,,"{ lng: 151.022866, lat: -33.632368 },"
151.022787,-33.631485,0,,"{ lng: 151.022787, lat: -33.631485 },"
151.021988,-33.62868,0,,"{ lng: 151.021988, lat: -33.62868 },"
151.021926,-33.627932,0,,"{ lng: 151.021926, lat: -33.627932 },"
151.022161,-33.626905,0,,"{ lng: 151.022161, lat: -33.626905 },"
151.023337,-33.62476,0,,"{ lng: 151.023337, lat: -33.62476 },"
151.023785,-33.6227,0,,"{ lng: 151.023785, lat: -33.6227 },"
151.023903,-33.621794,0,,"{ lng: 151.023903, lat: -33.621794 },"
151.023804,-33.621313,0,,"{ lng: 151.023804, lat: -33.621313 },"
151.023021,-33.619936,0,,"{ lng: 151.023021, lat: -33.619936 },"
151.019343,-33.614561,0,,"{ lng: 151.019343, lat: -33.614561 },"
151.019133,-33.61375,0,,"{ lng: 151.019133, lat: -33.61375 },"
151.019711,-33.611433,0,,"{ lng: 151.019711, lat: -33.611433 },"
151.01918,-33.609902,0,,"{ lng: 151.01918, lat: -33.609902 },"
151.014741,-33.605909,0,,"{ lng: 151.014741, lat: -33.605909 },"
151.007444,-33.601102,0,,"{ lng: 151.007444, lat: -33.601102 },"
151.006786,-33.599983,0,,"{ lng: 151.006786, lat: -33.599983 },"
151.006329,-33.597647,0,,"{ lng: 151.006329, lat: -33.597647 },"
151.006809,-33.593598,0,,"{ lng: 151.006809, lat: -33.593598 },"
151.006995,-33.593007,0,,"{ lng: 151.006995, lat: -33.593007 },"
151.010261,-33.589004,0,,"{ lng: 151.010261, lat: -33.589004 },"
151.012256,-33.586902,0,,"{ lng: 151.012256, lat: -33.586902 },"
151.012943,-33.585866,0,,"{ lng: 151.012943, lat: -33.585866 },"
151.013058,-33.585245,0,,"{ lng: 151.013058, lat: -33.585245 },"
151.012879,-33.584529,0,,"{ lng: 151.012879, lat: -33.584529 },"
151.01157,-33.583003,0,,"{ lng: 151.01157, lat: -33.583003 },"
151.011312,-33.582429,0,,"{ lng: 151.011312, lat: -33.582429 },"
151.011275,-33.581918,0,,"{ lng: 151.011275, lat: -33.581918 },"
151.011688,-33.580924,0,,"{ lng: 151.011688, lat: -33.580924 },"
151.013102,-33.579115,0,,"{ lng: 151.013102, lat: -33.579115 },"
151.013468,-33.578428,0,,"{ lng: 151.013468, lat: -33.578428 },"
151.013603,-33.57754,0,,"{ lng: 151.013603, lat: -33.57754 },"
151.013279,-33.576109,0,,"{ lng: 151.013279, lat: -33.576109 },"
151.013288,-33.575308,0,,"{ lng: 151.013288, lat: -33.575308 },"
151.013537,-33.574628,0,,"{ lng: 151.013537, lat: -33.574628 },"
151.014365,-33.573367,0,,"{ lng: 151.014365, lat: -33.573367 },"
151.014532,-33.572791,0,,"{ lng: 151.014532, lat: -33.572791 },"
151.014488,-33.572291,0,,"{ lng: 151.014488, lat: -33.572291 },"
151.013885,-33.571502,0,,"{ lng: 151.013885, lat: -33.571502 },"
151.01295,-33.571165,0,,"{ lng: 151.01295, lat: -33.571165 },"
151.010404,-33.570989,0,,"{ lng: 151.010404, lat: -33.570989 },"
151.009285,-33.570747,0,,"{ lng: 151.009285, lat: -33.570747 },"
151.008558,-33.570216,0,,"{ lng: 151.008558, lat: -33.570216 },"
151.008173,-33.569708,0,,"{ lng: 151.008173, lat: -33.569708 },"
